sequence_id,A_freq,T_freq,G_freq,C_freq,GC_content,AT_content,kmer_ATT,kmer_TAA,kmer_AAT,kmer_TTA,kmer_ATA,kmer_AAA,kmer_TAT,kmer_TTC,kmer_AAG,kmer_AGA,has_ATATA,has_polyT,has_polyA,start_A,start_T,end_T,at_rich_windows,label
mO_005(II)_gA6_v2(699-741),0.5116279069767442,0.20930232558139536,0.18604651162790697,0.09302325581395349,0.27906976744186046,0.7209302325581395,0.024390243902439025,0.0,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.0975609756097561,0.024390243902439025,0.0,0.0,0.0975609756097561,0,0,1,1,0,1,0.46153846153846156,1
mO_005(IV)_gND7(388-428),0.34146341463414637,0.2926829268292683,0.2682926829268293,0.0975609756097561,0.36585365853658536,0.6341463414634146,0.0,0.02564102564102564,0.02564102564102564,0.0,0.05128205128205128,0.0,0.05128205128205128,0.0,0.02564102564102564,0.05128205128205128,0,0,0,1,0,1,0.2972972972972973,1
mO_006(II)_gCOX3(790-822),0.5625,0.15625,0.15625,0.125,0.28125,0.71875,0.0,0.03333333333333333,0.03333333333333333,0.0,0.06666666666666667,0.1,0.03333333333333333,0.0,0.06666666666666667,0.06666666666666667,0,0,0,1,0,1,0.4642857142857143,1
mO_006(IV)_gCOX3(182-225),0.5454545454545454,0.13636363636363635,0.20454545454545456,0.11363636363636363,0.3181818181818182,0.6818181818181818,0.0,0.0,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.09523809523809523,0.023809523809523808,0.0,0.047619047619047616,0.09523809523809523,0,0,1,1,0,0,0.4,1
mO_006(V)_gND3(275-318),0.5,0.25,0.20454545454545456,0.045454545454545456,0.25,0.75,0.023809523809523808,0.023809523809523808,0.047619047619047616,0.023809523809523808,0.09523809523809523,0.07142857142857142,0.07142857142857142,0.0,0.023809523809523808,0.07142857142857142,0,0,1,1,0,0,0.6,1
mO_007(IV)_gCOX3(197-227),0.5483870967741935,0.0967741935483871,0.1935483870967742,0.16129032258064516,0.3548387096774194,0.6451612903225806,0.0,0.0,0.0,0.0,0.06896551724137931,0.034482758620689655,0.0,0.0,0.0,0.13793103448275862,0,0,0,1,0,0,0.2222222222222222,1
mO_007(V)_gND3(279-315),0.5135135135135135,0.24324324324324326,0.1891891891891892,0.05405405405405406,0.24324324324324326,0.7567567567567568,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.0,0.08571428571428572,0.05714285714285714,0.02857142857142857,0.0,0.08571428571428572,0.11428571428571428,0,0,1,1,0,1,0.6060606060606061,1
mO_008(I)_gND8_v2(234-268),0.4,0.34285714285714286,0.2,0.05714285714285714,0.2571428571428571,0.7428571428571429,0.06060606060606061,0.06060606060606061,0.09090909090909091,0.09090909090909091,0.0,0.030303030303030304,0.030303030303030304,0.0,0.030303030303030304,0.06060606060606061,0,0,0,0,0,1,0.6451612903225806,1
mO_008(I)_gND8_v1(234-268),0.4,0.34285714285714286,0.2,0.05714285714285714,0.2571428571428571,0.7428571428571429,0.06060606060606061,0.06060606060606061,0.09090909090909091,0.09090909090909091,0.0,0.030303030303030304,0.030303030303030304,0.0,0.030303030303030304,0.06060606060606061,0,0,0,0,0,1,0.6451612903225806,1
mO_008(II)_gND8_v1(210-249),0.4,0.3,0.15,0.15,0.3,0.7,0.02631578947368421,0.07894736842105263,0.07894736842105263,0.02631578947368421,0.10526315789473684,0.05263157894736842,0.02631578947368421,0.0,0.0,0.0,1,0,0,1,0,1,0.4444444444444444,1
mO_008(II)_gND8_v2(210-249),0.4,0.3,0.15,0.15,0.3,0.7,0.02631578947368421,0.07894736842105263,0.07894736842105263,0.02631578947368421,0.10526315789473684,0.05263157894736842,0.02631578947368421,0.0,0.0,0.0,1,0,0,1,0,1,0.4444444444444444,1
mO_009(I)_gND9(202-246),0.4444444444444444,0.26666666666666666,0.17777777777777778,0.1111111111111111,0.28888888888888886,0.7111111111111111,0.046511627906976744,0.023255813953488372,0.09302325581395349,0.023255813953488372,0.046511627906976744,0.046511627906976744,0.023255813953488372,0.0,0.023255813953488372,0.046511627906976744,0,0,1,1,0,0,0.5121951219512195,1
mO_009(II)_gCOX3(754-788),0.45714285714285713,0.2857142857142857,0.17142857142857143,0.08571428571428572,0.2571428571428571,0.7428571428571429,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.12121212121212122,0.030303030303030304,0.09090909090909091,0.0,0.030303030303030304,0.12121212121212122,1,0,0,0,1,0,0.6129032258064516,1
mO_009(V)_gA6_v1(326-370),0.6,0.2222222222222222,0.13333333333333333,0.044444444444444446,0.17777777777777778,0.8222222222222222,0.046511627906976744,0.046511627906976744,0.06976744186046512,0.046511627906976744,0.09302325581395349,0.16279069767441862,0.046511627906976744,0.0,0.046511627906976744,0.11627906976744186,1,0,1,1,0,1,0.7804878048780488,1
mO_009(V)_gA6_v2(326-370),0.6,0.2222222222222222,0.13333333333333333,0.044444444444444446,0.17777777777777778,0.8222222222222222,0.046511627906976744,0.046511627906976744,0.06976744186046512,0.046511627906976744,0.09302325581395349,0.16279069767441862,0.046511627906976744,0.0,0.046511627906976744,0.11627906976744186,1,0,1,1,0,1,0.7804878048780488,1
mO_010(I)_gA6_v2(600-645),0.5434782608695652,0.21739130434782608,0.15217391304347827,0.08695652173913043,0.2391304347826087,0.7608695652173914,0.0,0.045454545454545456,0.06818181818181818,0.0,0.1590909090909091,0.06818181818181818,0.045454545454545456,0.0,0.022727272727272728,0.09090909090909091,1,0,1,1,0,0,0.5714285714285714,1
mO_010(I)_gA6_v1(600-645),0.5434782608695652,0.21739130434782608,0.15217391304347827,0.08695652173913043,0.2391304347826087,0.7608695652173914,0.0,0.045454545454545456,0.06818181818181818,0.0,0.1590909090909091,0.06818181818181818,0.045454545454545456,0.0,0.022727272727272728,0.09090909090909091,1,0,1,1,0,0,0.5714285714285714,1
mO_010(II)_gCOX3(130-169),0.5,0.225,0.15,0.125,0.275,0.725,0.0,0.07894736842105263,0.07894736842105263,0.0,0.05263157894736842,0.07894736842105263,0.0,0.02631578947368421,0.07894736842105263,0.0,0,0,1,1,0,0,0.5277777777777778,1
mO_010(IV)_gND9(376-416),0.43902439024390244,0.2682926829268293,0.17073170731707318,0.12195121951219512,0.2926829268292683,0.7073170731707317,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.0,0.05128205128205128,0.10256410256410256,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.02564102564102564,0,0,1,1,0,0,0.5675675675675675,1
mO_011(I)_gND8_v1(317-343),0.4074074074074074,0.2222222222222222,0.2222222222222222,0.14814814814814814,0.37037037037037035,0.6296296296296297,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0,0,0,1,0,0,0.21739130434782608,1
mO_011(I)_gND8_v2(317-343),0.4074074074074074,0.2222222222222222,0.2222222222222222,0.14814814814814814,0.37037037037037035,0.6296296296296297,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0,0,0,1,0,0,0.21739130434782608,1
mO_011(II)_gND9(319-364),0.5,0.17391304347826086,0.21739130434782608,0.10869565217391304,0.32608695652173914,0.6739130434782609,0.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.09090909090909091,0.0,0.0,0.022727272727272728,0.06818181818181818,0,0,1,1,0,0,0.40476190476190477,1
mO_011(IV)_gRPS12(189-233),0.4888888888888889,0.24444444444444444,0.2,0.06666666666666667,0.26666666666666666,0.7333333333333333,0.023255813953488372,0.09302325581395349,0.046511627906976744,0.023255813953488372,0.09302325581395349,0.046511627906976744,0.0,0.0,0.046511627906976744,0.06976744186046512,0,0,1,1,0,0,0.5609756097560976,1
mO_012(I)_gND9(556-587),0.46875,0.25,0.15625,0.125,0.28125,0.71875,0.03333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.03333333333333333,0,0,0,1,0,1,0.6071428571428571,1
mO_012(II)_gND9(433-474),0.42857142857142855,0.30952380952380953,0.16666666666666666,0.09523809523809523,0.2619047619047619,0.7380952380952381,0.05,0.05,0.075,0.05,0.05,0.025,0.05,0.0,0.025,0.05,0,0,0,1,0,1,0.5526315789473685,1
mO_012(IV)_gND7(619-660),0.47619047619047616,0.2857142857142857,0.16666666666666666,0.07142857142857142,0.23809523809523808,0.7619047619047619,0.05,0.075,0.05,0.025,0.05,0.075,0.05,0.0,0.05,0.025,0,0,0,1,0,1,0.5789473684210527,1
mO_013(IV)_gRPS12(62-101),0.5,0.225,0.175,0.1,0.275,0.725,0.02631578947368421,0.05263157894736842,0.07894736842105263,0.02631578947368421,0.05263157894736842,0.07894736842105263,0.05263157894736842,0.0,0.0,0.02631578947368421,0,0,1,1,0,0,0.4722222222222222,1
mO_013(V)_gA6_v1(266-304),0.5641025641025641,0.23076923076923078,0.1282051282051282,0.07692307692307693,0.20512820512820512,0.7948717948717948,0.0,0.08108108108108109,0.08108108108108109,0.0,0.13513513513513514,0.05405405405405406,0.02702702702702703,0.0,0.08108108108108109,0.02702702702702703,1,0,1,1,0,0,0.8,1
mO_013(V)_gA6_v2(266-304),0.5641025641025641,0.23076923076923078,0.1282051282051282,0.07692307692307693,0.20512820512820512,0.7948717948717948,0.0,0.08108108108108109,0.08108108108108109,0.0,0.13513513513513514,0.05405405405405406,0.02702702702702703,0.0,0.08108108108108109,0.02702702702702703,1,0,1,1,0,0,0.8,1
mO_014(I)_gND8_v2(236-275),0.4,0.3,0.2,0.1,0.3,0.7,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.02631578947368421,0.02631578947368421,0.0,0.05263157894736842,0.0,0.02631578947368421,0.02631578947368421,0,0,0,0,0,0,0.5,1
mO_014(I)_gND8_v1(236-275),0.4,0.3,0.2,0.1,0.3,0.7,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.02631578947368421,0.02631578947368421,0.0,0.05263157894736842,0.0,0.02631578947368421,0.02631578947368421,0,0,0,0,0,0,0.5,1
mO_014(II)_gCR3(31-65),0.6285714285714286,0.17142857142857143,0.08571428571428572,0.11428571428571428,0.2,0.8,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.030303030303030304,0.06060606060606061,0.21212121212121213,0.030303030303030304,0.0,0.030303030303030304,0.0,1,0,1,1,0,0,0.7741935483870968,1
mO_014(V)_gCOX3(34-63),0.6,0.13333333333333333,0.16666666666666666,0.1,0.26666666666666666,0.7333333333333333,0.0,0.0,0.03571428571428571,0.0,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.10714285714285714,1,0,0,1,0,0,0.5,1
mO_015(I)_gCOX3(528-566),0.48717948717948717,0.15384615384615385,0.23076923076923078,0.1282051282051282,0.358974358974359,0.6410256410256411,0.02702702702702703,0.05405405405405406,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.10810810810810811,0.02702702702702703,0.0,0.0,0.10810810810810811,0,0,1,1,0,0,0.37142857142857144,1
mO_015(IV)_gND7(842-882),0.3902439024390244,0.3170731707317073,0.14634146341463414,0.14634146341463414,0.2926829268292683,0.7073170731707317,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.07692307692307693,0.0,0.05128205128205128,0.0,0.0,0.07692307692307693,0,0,0,1,0,1,0.4594594594594595,1
mO_015(V)_gND7(310-351),0.40476190476190477,0.30952380952380953,0.23809523809523808,0.047619047619047616,0.2857142857142857,0.7142857142857143,0.025,0.075,0.1,0.025,0.1,0.0,0.025,0.0,0.025,0.025,0,0,0,1,0,0,0.4473684210526316,1
mO_016(I)_gRPS12(117-153),0.2702702702702703,0.35135135135135137,0.2702702702702703,0.10810810810810811,0.3783783783783784,0.6216216216216216,0.02857142857142857,0.0,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,0,0,0,0,1,0,0.3939393939393939,1
mO_016(II)_gCOX3(120-168),0.4897959183673469,0.2653061224489796,0.14285714285714285,0.10204081632653061,0.24489795918367346,0.7551020408163265,0.02127659574468085,0.10638297872340426,0.06382978723404255,0.02127659574468085,0.0851063829787234,0.06382978723404255,0.0,0.02127659574468085,0.0425531914893617,0.0425531914893617,0,0,0,1,0,1,0.5777777777777777,1
mO_016(IV)_gND7(131-159),0.4482758620689655,0.27586206896551724,0.13793103448275862,0.13793103448275862,0.27586206896551724,0.7241379310344828,0.0,0.037037037037037035,0.07407407407407407,0.0,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,1,0,0,1,0,0,0.56,1
mO_017(I)_gCR4(354-395),0.5714285714285714,0.19047619047619047,0.16666666666666666,0.07142857142857142,0.23809523809523808,0.7619047619047619,0.0,0.025,0.025,0.0,0.125,0.1,0.05,0.0,0.075,0.075,1,0,1,1,0,0,0.6052631578947368,1
mO_017(II)_gND7(499-532),0.4117647058823529,0.29411764705882354,0.17647058823529413,0.11764705882352941,0.29411764705882354,0.7058823529411765,0.0,0.09375,0.03125,0.03125,0.09375,0.0,0.03125,0.0,0.0625,0.0,0,0,0,0,0,0,0.5333333333333333,1
mO_017(IV)_gA6_v1(443-485),0.4418604651162791,0.2558139534883721,0.20930232558139536,0.09302325581395349,0.3023255813953488,0.6976744186046512,0.024390243902439025,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.07317073170731707,0.024390243902439025,0.0,0.024390243902439025,0.04878048780487805,0,0,1,1,0,1,0.46153846153846156,1
mO_017(IV)_gA6_v2(443-485),0.4418604651162791,0.2558139534883721,0.20930232558139536,0.09302325581395349,0.3023255813953488,0.6976744186046512,0.024390243902439025,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.07317073170731707,0.024390243902439025,0.0,0.024390243902439025,0.04878048780487805,0,0,1,1,0,1,0.46153846153846156,1
mO_018(I)_gCOX3(148-182),0.45714285714285713,0.2,0.22857142857142856,0.11428571428571428,0.34285714285714286,0.6571428571428571,0.0,0.0,0.06060606060606061,0.0,0.06060606060606061,0.030303030303030304,0.0,0.0,0.0,0.09090909090909091,0,0,0,1,0,0,0.3548387096774194,1
mO_018(II)_gND7(478-515),0.4473684210526316,0.23684210526315788,0.21052631578947367,0.10526315789473684,0.3157894736842105,0.6842105263157895,0.0,0.05555555555555555,0.0,0.0,0.08333333333333333,0.05555555555555555,0.027777777777777776,0.0,0.027777777777777776,0.08333333333333333,0,0,1,1,0,0,0.38235294117647056,1
mO_018(IV)_gND8_v1(326-368),0.4883720930232558,0.2558139534883721,0.13953488372093023,0.11627906976744186,0.2558139534883721,0.7441860465116279,0.04878048780487805,0.04878048780487805,0.07317073170731707,0.024390243902439025,0.04878048780487805,0.12195121951219512,0.024390243902439025,0.0,0.0,0.0,0,0,1,1,0,1,0.6410256410256411,1
mO_018(IV)_gND8_v2(326-368),0.4883720930232558,0.2558139534883721,0.13953488372093023,0.11627906976744186,0.2558139534883721,0.7441860465116279,0.04878048780487805,0.04878048780487805,0.07317073170731707,0.024390243902439025,0.04878048780487805,0.12195121951219512,0.024390243902439025,0.0,0.0,0.0,0,0,1,1,0,1,0.6410256410256411,1
mO_019(I)_gCOX3(494-537),0.4318181818181818,0.3181818181818182,0.18181818181818182,0.06818181818181818,0.25,0.75,0.07142857142857142,0.07142857142857142,0.09523809523809523,0.047619047619047616,0.023809523809523808,0.07142857142857142,0.023809523809523808,0.0,0.0,0.0,0,0,0,1,0,1,0.55,1
mO_019(IV)_gND3(339-378),0.375,0.4,0.15,0.075,0.225,0.775,0.05263157894736842,0.02631578947368421,0.05263157894736842,0.0,0.10526315789473684,0.02631578947368421,0.10526315789473684,0.02631578947368421,0.02631578947368421,0.0,1,1,0,1,0,0,0.6666666666666666,1
mO_020(II)_gCOX3(768-811),0.4772727272727273,0.25,0.1590909090909091,0.11363636363636363,0.2727272727272727,0.7272727272727273,0.023809523809523808,0.023809523809523808,0.047619047619047616,0.023809523809523808,0.07142857142857142,0.07142857142857142,0.09523809523809523,0.0,0.047619047619047616,0.023809523809523808,1,0,0,1,0,0,0.55,1
mO_020(IV)_gCOX3(175-218),0.5454545454545454,0.20454545454545456,0.18181818181818182,0.06818181818181818,0.25,0.75,0.047619047619047616,0.047619047619047616,0.07142857142857142,0.023809523809523808,0.047619047619047616,0.11904761904761904,0.0,0.0,0.07142857142857142,0.09523809523809523,0,0,1,1,0,0,0.575,1
mO_021(I)_gCR3(156-199),0.5,0.2727272727272727,0.13636363636363635,0.09090909090909091,0.22727272727272727,0.7727272727272727,0.047619047619047616,0.047619047619047616,0.023809523809523808,0.047619047619047616,0.07142857142857142,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.09523809523809523,0,0,0,0,1,0,0.6,1
mO_021(II)_gCOX3(807-850),0.4772727272727273,0.22727272727272727,0.18181818181818182,0.11363636363636363,0.29545454545454547,0.7045454545454546,0.0,0.023809523809523808,0.047619047619047616,0.0,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.0,0.0,0.09523809523809523,1,0,0,1,0,1,0.525,1
mO_021(IV)_gCR4(203-245),0.4186046511627907,0.27906976744186046,0.18604651162790697,0.11627906976744186,0.3023255813953488,0.6976744186046512,0.024390243902439025,0.04878048780487805,0.0,0.024390243902439025,0.07317073170731707,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,0.07317073170731707,0,0,0,1,0,0,0.38461538461538464,1
mO_022(I)_gCOX3(614-641),0.35714285714285715,0.35714285714285715,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.0,0.038461538461538464,0.0,0.038461538461538464,0.07692307692307693,0.0,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0,1,0,1,0,0,0.5,1
mO_022(IV)_gND7(841-884),0.36363636363636365,0.3181818181818182,0.20454545454545456,0.11363636363636363,0.3181818181818182,0.6818181818181818,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.047619047619047616,0.047619047619047616,0.023809523809523808,0.07142857142857142,0.0,0.023809523809523808,0.023809523809523808,0,0,0,1,0,0,0.375,1
mO_022(V)_gND7(1102-1141),0.425,0.225,0.225,0.125,0.35,0.65,0.0,0.05263157894736842,0.05263157894736842,0.0,0.13157894736842105,0.02631578947368421,0.02631578947368421,0.0,0.02631578947368421,0.10526315789473684,0,0,0,0,0,0,0.4444444444444444,1
mO_023(I)_gA6_v2(107-151),0.4666666666666667,0.28888888888888886,0.15555555555555556,0.08888888888888889,0.24444444444444444,0.7555555555555555,0.046511627906976744,0.06976744186046512,0.046511627906976744,0.046511627906976744,0.06976744186046512,0.06976744186046512,0.023255813953488372,0.0,0.046511627906976744,0.023255813953488372,1,0,1,1,0,0,0.6341463414634146,1
mO_023(I)_gA6_v1(107-151),0.4666666666666667,0.28888888888888886,0.15555555555555556,0.08888888888888889,0.24444444444444444,0.7555555555555555,0.046511627906976744,0.06976744186046512,0.046511627906976744,0.046511627906976744,0.06976744186046512,0.06976744186046512,0.023255813953488372,0.0,0.046511627906976744,0.023255813953488372,1,0,1,1,0,0,0.6341463414634146,1
mO_023(II)_gND8_v1(199-241),0.4186046511627907,0.2558139534883721,0.20930232558139536,0.11627906976744186,0.32558139534883723,0.6744186046511628,0.0,0.07317073170731707,0.024390243902439025,0.0,0.07317073170731707,0.024390243902439025,0.024390243902439025,0.0,0.0,0.024390243902439025,0,0,0,1,0,0,0.358974358974359,1
mO_023(II)_gND8_v2(199-241),0.4186046511627907,0.2558139534883721,0.20930232558139536,0.11627906976744186,0.32558139534883723,0.6744186046511628,0.0,0.07317073170731707,0.024390243902439025,0.0,0.07317073170731707,0.024390243902439025,0.024390243902439025,0.0,0.0,0.024390243902439025,0,0,0,1,0,0,0.358974358974359,1
mO_023(IV)_gCR4(312-336),0.72,0.12,0.0,0.16,0.16,0.84,0.0,0.043478260869565216,0.13043478260869565,0.0,0.08695652173913043,0.30434782608695654,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0.7619047619047619,1
mO_024(I)_gRPS12(285-321),0.35135135135135137,0.40540540540540543,0.10810810810810811,0.13513513513513514,0.24324324324324326,0.7567567567567568,0.0,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.08571428571428572,0.0,0.11428571428571428,0.0,0.0,0.0,0,0,0,1,0,0,0.7575757575757576,1
mO_024(II)_gCOX3(460-510),0.45098039215686275,0.35294117647058826,0.17647058823529413,0.0196078431372549,0.19607843137254902,0.803921568627451,0.08163265306122448,0.04081632653061224,0.12244897959183673,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.04081632653061224,0.0,0.0,0.061224489795918366,0,0,1,1,0,0,0.723404255319149,1
mO_025(I)_gCR3(162-200),0.48717948717948717,0.23076923076923078,0.1794871794871795,0.10256410256410256,0.28205128205128205,0.717948717948718,0.02702702702702703,0.02702702702702703,0.0,0.02702702702702703,0.08108108108108109,0.02702702702702703,0.02702702702702703,0.0,0.02702702702702703,0.13513513513513514,0,0,0,1,0,0,0.45714285714285713,1
mO_025(II)_gCOX3(814-845),0.5,0.25,0.15625,0.09375,0.25,0.75,0.0,0.1,0.06666666666666667,0.0,0.06666666666666667,0.1,0.0,0.0,0.03333333333333333,0.03333333333333333,0,0,0,1,0,0,0.6428571428571429,1
mO_025(IV)_gCR4(203-242),0.4,0.275,0.2,0.125,0.325,0.675,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.05263157894736842,0.02631578947368421,0.0,0.02631578947368421,0.0,0.02631578947368421,0.05263157894736842,0,0,0,1,0,0,0.3888888888888889,1
mO_026(I)_gCOX3(109-147),0.46153846153846156,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.6923076923076923,0.0,0.02702702702702703,0.05405405405405406,0.0,0.13513513513513514,0.02702702702702703,0.05405405405405406,0.0,0.0,0.05405405405405406,0,0,0,1,0,0,0.4857142857142857,1
mO_026(IV)_gCOX3(247-287),0.4878048780487805,0.24390243902439024,0.1951219512195122,0.07317073170731707,0.2682926829268293,0.7317073170731707,0.05128205128205128,0.07692307692307693,0.05128205128205128,0.02564102564102564,0.05128205128205128,0.15384615384615385,0.0,0.0,0.0,0.05128205128205128,0,0,1,1,0,0,0.5405405405405406,1
mO_027(I)_gA6_v2(480-519),0.475,0.2,0.25,0.075,0.325,0.675,0.0,0.02631578947368421,0.0,0.02631578947368421,0.05263157894736842,0.05263157894736842,0.02631578947368421,0.0,0.07894736842105263,0.05263157894736842,0,0,1,1,0,0,0.3888888888888889,1
mO_027(I)_gA6_v1(480-519),0.475,0.2,0.25,0.075,0.325,0.675,0.0,0.02631578947368421,0.0,0.02631578947368421,0.05263157894736842,0.05263157894736842,0.02631578947368421,0.0,0.07894736842105263,0.05263157894736842,0,0,1,1,0,0,0.3888888888888889,1
mO_027(II)_gND8_v1(100-135),0.5555555555555556,0.19444444444444445,0.1388888888888889,0.1111111111111111,0.25,0.75,0.0,0.08823529411764706,0.0,0.0,0.17647058823529413,0.0,0.029411764705882353,0.0,0.029411764705882353,0.11764705882352941,1,0,0,1,0,0,0.59375,1
mO_027(II)_gND8_v2(100-135),0.5555555555555556,0.19444444444444445,0.1388888888888889,0.1111111111111111,0.25,0.75,0.0,0.08823529411764706,0.0,0.0,0.17647058823529413,0.0,0.029411764705882353,0.0,0.029411764705882353,0.11764705882352941,1,0,0,1,0,0,0.59375,1
mO_027(IV)_gND8_v1(271-306),0.3888888888888889,0.25,0.19444444444444445,0.16666666666666666,0.3611111111111111,0.6388888888888888,0.0,0.0,0.0,0.0,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.0,0.0,0.0,0,0,0,1,0,0,0.28125,1
